phase_ns,object,q,slot,lower,upper
0,muon,0.001,432,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,433,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,434,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,435,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,436,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,437,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,438,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,439,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,440,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,441,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,442,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,443,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,444,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,445,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,446,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,447,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,448,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,449,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,450,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,451,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,452,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,453,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,454,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,455,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,456,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,457,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,458,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,459,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,460,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,461,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,462,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,463,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,464,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,465,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,466,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,467,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,977,0,0
0,muon,0.001,1196,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,1197,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1198,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1199,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1200,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1201,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1202,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1203,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1208,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,1209,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1210,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1211,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1212,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1213,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1214,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1215,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1220,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,1221,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1222,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1223,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,1224,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,1225,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,1226,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,1227,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,1232,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,1233,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,1234,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,1235,0.00018300303517229064,0.0008935011605070521
